UTC Time at End of Hour,Demand (MW),Net Generation (MW)
2015-07-01,615661.0,513680.0
2015-07-02,964443.0,814879.0
2015-07-03,904339.0,757794.0
2015-07-04,863264.0,691081.0
2015-07-05,801034.0,625964.0
2015-07-06,834762.0,678749.0
2015-07-07,867973.0,709116.0
2015-07-08,847050.0,697708.0
2015-07-09,821917.0,667917.0
2015-07-10,807094.0,629084.0
2015-07-11,781992.0,589014.0
2015-07-12,770307.0,577345.0
2015-07-13,841314.0,646515.0
2015-07-14,884270.0,691596.0
2015-07-15,876537.0,664187.0
2015-07-16,899990.0,667172.0
2015-07-17,913299.0,686198.0
2015-07-18,876180.0,675548.0
2015-07-19,805433.0,607795.0
2015-07-20,923699.0,698372.0
2015-07-21,965148.0,735193.0
2015-07-22,920525.0,698329.0
2015-07-23,883976.0,663452.0
2015-07-24,887032.0,666275.0
2015-07-25,877270.0,658761.0
2015-07-26,830195.0,632598.0
2015-07-27,857168.0,652792.0
2015-07-28,920946.0,692889.0
2015-07-29,978934.0,752856.0
2015-07-30,1001166.0,786491.0
2015-07-31,988459.0,781054.0
2015-08-01,915273.0,714950.0
2015-08-02,851363.0,666789.0
2015-08-03,894140.0,693143.0
2015-08-04,916282.0,703631.0
2015-08-05,918919.0,697988.0
2015-08-06,954343.0,724719.0
2015-08-07,906710.0,697377.0
2015-08-08,836393.0,624547.0
2015-08-09,781577.0,581442.0
2015-08-10,836912.0,628615.0
2015-08-11,865945.0,675838.0
2015-08-12,883742.0,691219.0
2015-08-13,953261.0,739715.0
2015-08-14,978366.0,747983.0
2015-08-15,964526.0,724789.0
2015-08-16,966982.0,734879.0
2015-08-17,1031277.0,801169.0
2015-08-18,995742.0,802530.0
2015-08-19,940616.0,761336.0
2015-08-20,910466.0,700126.0
2015-08-21,896737.0,657489.0
2015-08-22,850208.0,609391.0
2015-08-23,822975.0,594130.0
2015-08-24,898619.0,659958.0
2015-08-25,955303.0,715742.0
2015-08-26,969103.0,734659.0
2015-08-27,1024053.0,785312.0
2015-08-28,1065001.0,824188.0
2015-08-29,1016960.0,795520.0
2015-08-30,910540.0,683346.0
2015-08-31,906504.0,675149.0
2015-09-01,922793.0,679269.0
2015-09-02,894402.0,656043.0
2015-09-03,856159.0,642631.0
2015-09-04,826288.0,626766.0
2015-09-05,769587.0,565265.0
2015-09-06,749971.0,539349.0
2015-09-07,811195.0,599987.0
2015-09-08,964687.0,742539.0
2015-09-09,1080061.0,833498.0
2015-09-10,1083078.8199999996,840161.0
2015-09-11,1083078.8199999996,832298.0
2015-09-12,982598.0,744434.0
2015-09-13,889370.0,638160.0
2015-09-14,924576.0,670414.0
2015-09-15,893588.0,647657.0
2015-09-16,833170.0,615825.0
2015-09-17,811497.0,598661.0
2015-09-18,834338.0,606063.0
2015-09-19,837906.0,603956.0
2015-09-20,860902.0,613355.0
2015-09-21,973883.0,713303.0
2015-09-22,926838.0,702466.0
2015-09-23,879385.0,663730.0
2015-09-24,919291.0,687552.0
2015-09-25,959359.0,729239.0
2015-09-26,927530.0,691937.0
2015-09-27,864033.0,650901.0
2015-09-28,883211.0,672115.0
2015-09-29,873565.0,681521.0
2015-09-30,851248.0,648515.0
2015-10-01,856173.0,646155.0
2015-10-02,833360.0,614977.0
2015-10-03,776134.0,554791.0
2015-10-04,707766.0,504385.0
2015-10-05,720737.0,524589.0
2015-10-06,762375.0,557557.0
2015-10-07,789172.0,575770.0
2015-10-08,830398.0,612219.0
2015-10-09,890321.0,661647.0
2015-10-10,890848.0,655654.0
2015-10-11,839715.0,610220.0
2015-10-12,890781.0,656127.0
2015-10-13,960830.0,712270.0
2015-10-14,957553.0,727480.0
2015-10-15,911558.0,693629.0
2015-10-16,851828.0,652156.0
2015-10-17,787192.0,599014.0
2015-10-18,727326.0,535193.0
2015-10-19,744283.0,564820.0
2015-10-20,759565.0,578506.0
2015-10-21,768229.0,597375.0
2015-10-22,778687.0,591771.0
2015-10-23,776050.0,583768.0
2015-10-24,740018.0,552618.0
2015-10-25,699288.0,528803.0
2015-10-26,738629.0,555451.0
2015-10-27,775427.0,594551.0
2015-10-28,769724.0,584489.0
2015-10-29,762576.0,585262.0
2015-10-30,752253.0,559848.0
2015-10-31,711467.0,509769.0
2015-11-01,668992.0,491840.0
2015-11-02,709825.0,535986.0
2015-11-03,711971.0,535257.0
2015-11-04,707289.0,527599.0
2015-11-05,718161.0,521978.0
2015-11-06,724443.0,518493.0
2015-11-07,687330.0,482159.0
2015-11-08,649815.0,449977.0
2015-11-09,695296.0,495895.0
2015-11-10,719442.0,519332.0
2015-11-11,719147.0,503540.0
2015-11-12,727670.0,510347.0
2015-11-13,724870.0,510268.0
2015-11-14,685640.0,471843.0
2015-11-15,650372.0,441184.0
2015-11-16,690289.0,490548.0
2015-11-17,735180.0,508022.0
2015-11-18,731594.0,496948.0
2015-11-19,728944.0,511195.0
2015-11-20,729700.0,515066.0
2015-11-21,699057.0,479525.0
2015-11-22,659192.0,444789.0
2015-11-23,696050.0,487641.0
2015-11-24,729858.0,526693.0
2015-11-25,733055.0,534166.0
2015-11-26,696625.0,517714.0
2015-11-27,647488.0,478861.0
2015-11-28,670252.0,504517.0
2015-11-29,665478.0,517789.0
2015-11-30,724184.0,571492.0
2015-12-01,760051.0,600274.0
2015-12-02,755489.0,591479.0
2015-12-03,752748.0,574771.0
2015-12-04,752635.0,574172.0
2015-12-05,720754.0,536554.0
2015-12-06,678396.0,483793.0
2015-12-07,716477.0,517587.0
2015-12-08,751725.0,542570.0
2015-12-09,750631.0,529368.0
2015-12-10,748481.0,540538.0
2015-12-11,742775.0,544790.0
2015-12-12,714400.0,538277.0
2015-12-13,684760.0,500994.0
2015-12-14,735907.0,551041.0
2015-12-15,782641.0,598007.0
2015-12-16,794238.0,587477.0
2015-12-17,790142.0,582224.0
2015-12-18,769405.0,568617.0
2015-12-19,724645.0,524687.0
2015-12-20,697860.0,508641.0
2015-12-21,736099.0,541755.0
2015-12-22,757080.0,569250.0
2015-12-23,731351.0,566695.0
2015-12-24,718813.0,542018.0
2015-12-25,680147.0,506238.0
2015-12-26,671951.0,498575.0
2015-12-27,702932.0,521920.0
2015-12-28,740841.0,551387.0
2015-12-29,764484.0,569347.0
2015-12-30,768930.0,577849.0
2015-12-31,749103.0,569016.0
2016-01-01,703145.0,537146.0
2016-01-02,686982.0,526681.0
2016-01-03,676214.0,516034.0
2016-01-04,710230.0,545055.0
2016-01-05,747552.0,569804.0
2016-01-06,761631.0,573438.0
2016-01-07,761008.0,566789.0
2016-01-08,755219.0,569549.0
2016-01-09,714846.0,532017.0
2016-01-10,670920.0,487176.0
2016-01-11,708179.0,523954.0
2016-01-12,738581.0,560827.0
2016-01-13,741144.0,565069.0
2016-01-14,740401.0,556118.0
2016-01-15,738732.0,565512.0
2016-01-16,684798.0,515269.0
2016-01-17,646119.0,487084.0
2016-01-18,677524.0,524688.0
2016-01-19,718897.0,559986.0
2016-01-20,718224.0,557554.0
2016-01-21,712524.0,540692.0
2016-01-22,714081.0,528901.0
2016-01-23,677640.0,498011.0
2016-01-24,644050.0,482560.0
2016-01-25,688002.0,506000.0
2016-01-26,721312.0,519364.0
2016-01-27,724368.0,510913.0
2016-01-28,725601.0,498878.0
2016-01-29,719402.0,503874.0
2016-01-30,677647.0,479434.0
2016-01-31,653658.0,462609.0
2016-02-01,709184.0,527002.0
2016-02-02,749800.0,573214.0
2016-02-03,743651.0,568711.0
2016-02-04,729054.0,552579.0
2016-02-05,717880.0,559611.0
2016-02-06,673902.0,507942.0
2016-02-07,633565.0,484061.0
2016-02-08,667180.0,515163.0
2016-02-09,714001.0,551770.0
2016-02-10,719371.0,542603.0
2016-02-11,718728.0,535303.0
2016-02-12,713902.0,527288.0
2016-02-13,669371.0,484991.0
2016-02-14,622506.0,456669.0
2016-02-15,653687.0,473101.0
2016-02-16,716906.0,532785.0
2016-02-17,729589.0,544228.0
2016-02-18,711738.0,521688.0
2016-02-19,702538.0,516551.0
2016-02-20,667102.0,487804.0
2016-02-21,620609.0,453380.0
2016-02-22,669389.0,493741.0
2016-02-23,705511.0,513126.0
2016-02-24,707970.0,513000.0
2016-02-25,710137.0,513048.0
2016-02-26,706455.0,506766.0
2016-02-27,672412.0,482910.0
2016-02-28,644681.0,457781.0
2016-02-29,692333.0,488997.0
2016-03-01,731168.0,531324.0
2016-03-02,726756.0,526268.0
2016-03-03,730037.0,519169.0
2016-03-04,729198.0,519153.0
2016-03-05,696922.0,483423.0
2016-03-06,657780.0,473248.0
2016-03-07,700492.0,496569.0
2016-03-08,729698.0,534395.0
2016-03-09,728674.0,528643.0
2016-03-10,735649.0,520518.0
2016-03-11,744124.0,520280.0
2016-03-12,704605.0,510412.0
2016-03-13,665603.0,510786.0
2016-03-14,702351.0,513469.0
2016-03-15,723002.0,517145.0
2016-03-16,731245.0,516321.0
2016-03-17,739907.0,525296.0
2016-03-18,740183.0,538203.0
2016-03-19,690340.0,504514.0
2016-03-20,645866.0,476592.0
2016-03-21,700489.0,511528.0
2016-03-22,724380.0,531801.0
2016-03-23,721581.0,526958.0
2016-03-24,719100.0,511780.0
2016-03-25,711932.0,519825.0
2016-03-26,673796.0,501214.0
2016-03-27,630610.0,453460.0
2016-03-28,670155.0,489871.0
2016-03-29,699941.0,521654.0
2016-03-30,693772.0,500989.0
2016-03-31,688629.0,506495.0
2016-04-01,693920.0,515301.0
2016-04-02,671175.0,485950.0
2016-04-03,642227.0,497665.0
2016-04-04,693935.0,510658.0
2016-04-05,728720.0,514683.0
2016-04-06,754266.0,525547.0
2016-04-07,766579.0,542203.0
2016-04-08,733020.0,519551.0
2016-04-09,688170.0,473181.0
2016-04-10,645931.0,439618.0
2016-04-11,685532.0,474245.0
2016-04-12,713064.0,502899.0
2016-04-13,714252.0,523089.0
2016-04-14,713188.0,530385.0
2016-04-15,708391.0,515492.0
2016-04-16,678163.0,484493.0
2016-04-17,660149.0,452472.0
2016-04-18,737236.0,526214.0
2016-04-19,789249.0,579578.0
2016-04-20,787088.0,571090.0
2016-04-21,778741.0,554024.0
2016-04-22,765057.0,554366.0
2016-04-23,697318.0,490146.0
2016-04-24,655026.0,454707.0
2016-04-25,624184.0,439062.0
2016-04-26,707709.0,507317.0
2016-04-27,716849.0,524730.0
2016-04-28,723192.0,521953.0
2016-04-29,718122.0,522996.0
2016-04-30,682164.0,493407.0
2016-05-01,651781.0,451296.0
2016-05-02,716151.0,501621.0
2016-05-03,765910.0,555390.0
2016-05-04,768138.0,565307.0
2016-05-05,749032.0,549560.0
2016-05-06,729076.0,524248.0
2016-05-07,680496.0,470705.0
2016-05-08,640951.0,439862.0
2016-05-09,696476.0,478574.0
2016-05-10,734861.0,513541.0
2016-05-11,750494.0,526620.0
2016-05-12,781683.0,549531.0
2016-05-13,787605.0,568071.0
2016-05-14,730134.0,539390.0
2016-05-15,675067.0,500058.0
2016-05-16,722453.0,513000.0
2016-05-17,773391.0,545362.0
2016-05-18,802777.0,558908.0
2016-05-19,814252.0,576983.0
2016-05-20,765116.0,554817.0
2016-05-21,694210.0,510876.0
2016-05-22,650702.0,468963.0
2016-05-23,700081.0,495175.0
2016-05-24,700997.0,496087.0
2016-05-25,731544.0,513919.0
2016-05-26,741006.0,525364.0
2016-05-27,752608.0,527091.0
2016-05-28,734872.0,508232.0
2016-05-29,701386.0,493556.0
2016-05-30,702545.0,506733.0
2016-05-31,792906.0,575010.0
2016-06-01,855790.0,632494.0
2016-06-02,867779.0,634083.0
2016-06-03,913393.0,683917.0
2016-06-04,905174.0,681858.0
2016-06-05,816479.0,635772.0
2016-06-06,831100.0,657838.0
2016-06-07,848458.0,676100.0
2016-06-08,843916.0,640285.0
2016-06-09,826730.0,616995.0
2016-06-10,809488.0,594498.0
2016-06-11,770043.0,542841.0
2016-06-12,724045.0,513778.0
2016-06-13,769458.0,554260.0
2016-06-14,785248.0,583226.0
2016-06-15,774971.0,577845.0
2016-06-16,766396.0,555015.0
2016-06-17,801227.0,575610.0
2016-06-18,806251.0,587264.0
2016-06-19,821368.0,607673.0
2016-06-20,980701.0,771601.0
2016-06-21,1032356.0,827136.0
2016-06-22,975812.0,785787.0
2016-06-23,935364.0,734489.0
2016-06-24,913801.0,695272.0
2016-06-25,867451.0,658747.0
2016-06-26,863884.0,685214.0
2016-06-27,970213.0,765916.0
2016-06-28,1039393.0,823977.0
2016-06-29,1012624.0,787134.0
2016-06-30,986936.0,755300.0
2016-07-01,977639.0,711712.0
2016-07-02,893973.0,644882.0
2016-07-03,816704.0,578114.0
2016-07-04,795355.0,570179.0
2016-07-05,830013.0,605455.0
2016-07-06,860935.0,640575.0
2016-07-07,866639.0,640484.0
2016-07-08,878566.0,644129.0
2016-07-09,863103.0,621014.0
2016-07-10,814864.0,586584.0
2016-07-11,854365.0,614132.0
2016-07-12,894393.0,665588.0
2016-07-13,916665.0,689700.0
2016-07-14,967571.0,729468.0
2016-07-15,965007.0,732198.0
2016-07-16,900892.0,671365.0
2016-07-17,824982.0,613325.0
2016-07-18,857347.0,641774.0
2016-07-19,899027.0,680385.0
2016-07-20,929758.0,711700.0
2016-07-21,970324.0,773337.0
2016-07-22,997537.0,801847.0
2016-07-23,999112.0,783761.0
2016-07-24,945700.0,754022.0
2016-07-25,1007045.0,822997.0
2016-07-26,1056609.0,857445.0
2016-07-27,1083078.8199999996,868371.6199999995
2016-07-28,1078181.0,868371.6199999995
2016-07-29,1074142.0,868371.6199999995
2016-07-30,1025240.0,816268.0
2016-07-31,939042.0,711131.0
2016-08-01,959792.0,726617.0
2016-08-02,982332.0,747402.0
2016-08-03,983812.0,751277.0
2016-08-04,961606.0,755042.0
2016-08-05,931441.0,720199.0
2016-08-06,873717.0,659292.0
2016-08-07,823955.0,624868.0
2016-08-08,883237.0,662619.0
2016-08-09,913423.0,687669.0
2016-08-10,920165.0,683708.0
2016-08-11,919367.0,695313.0
2016-08-12,936024.0,725020.0
2016-08-13,927753.0,736588.0
2016-08-14,928432.0,733966.0
2016-08-15,1002919.0,808982.0
2016-08-16,1006572.0,830630.0
2016-08-17,993940.0,816882.0
2016-08-18,983407.0,788210.0
2016-08-19,962896.0,763538.0
2016-08-20,898214.0,711673.0
2016-08-21,838345.0,646035.0
2016-08-22,891986.0,678018.0
2016-08-23,913583.0,705609.0
2016-08-24,913776.0,716332.0
2016-08-25,911103.0,714368.0
2016-08-26,877134.0,689722.0
2016-08-27,806878.0,608651.0
2016-08-28,772429.0,582921.0
2016-08-29,868184.0,677927.0
2016-08-30,947281.0,726779.0
2016-08-31,967324.0,736434.0
2016-09-01,942581.0,711763.0
2016-09-02,897115.0,667174.0
2016-09-03,817533.0,598652.0
2016-09-04,728093.0,540918.0
2016-09-05,709566.0,535845.0
2016-09-06,787941.0,587640.0
2016-09-07,870489.0,632480.0
2016-09-08,885427.0,661600.0
2016-09-09,869079.0,675373.0
2016-09-10,832408.0,642892.0
2016-09-11,791648.0,606696.0
2016-09-12,798490.0,621230.0
2016-09-13,777088.0,607171.0
2016-09-14,762575.0,588254.0
2016-09-15,782221.0,586469.0
2016-09-16,801497.0,593113.0
2016-09-17,784642.0,559066.0
2016-09-18,799202.0,574881.0
2016-09-19,905458.0,667328.0
2016-09-20,919400.0,682872.0
2016-09-21,894220.0,671349.0
2016-09-22,827596.0,646564.0
2016-09-23,772451.0,583016.0
2016-09-24,754856.0,544965.0
2016-09-25,780257.0,564593.0
2016-09-26,918057.0,683623.0
2016-09-27,980384.0,728836.0
2016-09-28,947153.0,707815.0
2016-09-29,923155.0,694213.0
2016-09-30,890944.0,663066.0
2016-10-01,797626.0,595192.0
2016-10-02,718949.0,562062.0
2016-10-03,734900.0,560550.0
2016-10-04,753198.0,582530.0
2016-10-05,753489.0,590572.0
2016-10-06,751725.0,581764.0
2016-10-07,779769.0,597119.0
2016-10-08,756717.0,586069.0
2016-10-09,733809.0,565194.0
2016-10-10,788021.0,604825.0
2016-10-11,783852.0,632558.0
2016-10-12,750517.0,615139.0
2016-10-13,745319.0,598181.0
2016-10-14,756108.0,598912.0
2016-10-15,711912.0,566476.0
2016-10-16,697650.0,546461.0
2016-10-17,730781.0,574633.0
2016-10-18,743486.0,587965.0
2016-10-19,751003.0,586351.0
2016-10-20,787214.0,609004.0
2016-10-21,803466.0,621242.0
2016-10-22,730392.0,566667.0
2016-10-23,665506.0,498544.0
2016-10-24,718416.0,545519.0
2016-10-25,728904.0,568138.0
2016-10-26,730035.0,563100.0
2016-10-27,742312.0,568524.0
2016-10-28,745295.0,578219.0
2016-10-29,689347.0,533054.0
2016-10-30,616639.0,457316.0
2016-10-31,612298.0,427494.0
2016-11-01,718389.0,501691.0
2016-11-02,698602.0,473814.0
2016-11-03,645653.0,423461.0
2016-11-04,667912.0,456287.0
2016-11-05,695806.0,461260.0
2016-11-06,652296.0,415373.0
2016-11-07,698243.0,454295.0
2016-11-08,758044.0,505064.0
2016-11-09,783011.0,524076.0
2016-11-10,786792.0,527746.0
2016-11-11,760479.0,504464.0
2016-11-12,706817.0,452124.0
2016-11-13,662375.0,425753.0
2016-11-14,714490.0,471106.0
2016-11-15,739662.0,505163.0
2016-11-16,719288.0,501384.0
2016-11-17,714058.0,502949.0
2016-11-18,713831.0,501162.0
2016-11-19,678307.0,461616.0
2016-11-20,648808.0,416957.0
2016-11-21,690869.0,467611.0
2016-11-22,712381.0,500762.0
2016-11-23,717509.0,498812.0
2016-11-24,678041.0,461248.0
2016-11-25,639199.0,427348.0
2016-11-26,662784.0,436382.0
2016-11-27,665195.0,440081.0
2016-11-28,708382.0,476980.0
2016-11-29,735026.0,517018.0
2016-11-30,742588.0,523187.0
2016-12-01,742438.0,520038.0
2016-12-02,742350.0,532504.0
2016-12-03,708202.0,483423.0
2016-12-04,673758.0,444774.0
2016-12-05,717514.0,500809.0
2016-12-06,751776.0,547560.0
2016-12-07,760188.0,559367.0
2016-12-08,768659.0,553525.0
2016-12-09,751454.0,541838.0
2016-12-10,714485.0,518197.0
2016-12-11,679977.0,485307.0
2016-12-12,716574.0,524184.0
2016-12-13,741569.0,575589.0
2016-12-14,744495.0,605197.0
2016-12-15,751396.0,592342.0
2016-12-16,742658.0,600975.0
2016-12-17,718308.0,580947.0
2016-12-18,702804.0,532822.0
2016-12-19,744065.0,542414.0
2016-12-20,773509.0,548796.0
2016-12-21,759238.0,542487.0
2016-12-22,756973.0,562253.0
2016-12-23,744740.0,532949.0
2016-12-24,705171.0,507254.0
2016-12-25,680417.0,463068.0
2016-12-26,684553.0,467228.0
2016-12-27,730940.0,502723.0
2016-12-28,737414.0,508531.0
2016-12-29,725329.0,516488.0
2016-12-30,722269.0,488239.0
2016-12-31,691665.0,469848.0
2017-01-01,670278.0,474383.0
2017-01-02,681830.0,483421.0
2017-01-03,735246.0,552502.0
2017-01-04,752437.0,592537.0
2017-01-05,739603.0,615187.0
2017-01-06,745710.0,623128.0
2017-01-07,725232.0,555201.0
2017-01-08,673103.0,510315.0
2017-01-09,709532.0,529667.0
2017-01-10,749274.0,590385.0
2017-01-11,748514.0,596345.0
2017-01-12,755269.0,597599.0
2017-01-13,764288.0,609974.0
2017-01-14,715262.0,567344.0
2017-01-15,685593.0,526739.0
2017-01-16,716558.0,564046.0
2017-01-17,761715.0,592695.0
