UTC Time at End of Hour,Demand (MW),Net Generation (MW)
2015-07-01,581227.0,583404.0
2015-07-02,774333.0,776053.0
2015-07-03,691318.0,693430.0
2015-07-04,669451.0,669151.0
2015-07-05,693225.0,696383.0
2015-07-06,779716.0,783218.0
2015-07-07,689620.0,699173.0
2015-07-08,644619.0,649217.0
2015-07-09,667463.0,674387.0
2015-07-10,706502.0,714963.0
2015-07-11,732438.0,741602.0
2015-07-12,772364.0,773373.0
2015-07-13,856912.0,855272.0
2015-07-14,876671.0,874282.0
2015-07-15,860944.0,864690.0
2015-07-16,850087.0,849827.0
2015-07-17,870352.0,868054.0
2015-07-18,834141.0,844428.0
2015-07-19,808786.0,815678.0
2015-07-20,841883.0,848815.0
2015-07-21,791347.0,801854.0
2015-07-22,767293.0,778878.0
2015-07-23,828451.0,834137.0
2015-07-24,878796.0,885982.0
2015-07-25,850716.0,861780.0
2015-07-26,819976.0,830931.0
2015-07-27,876685.0,885620.0
2015-07-28,903050.0,916792.0
2015-07-29,864462.0,875686.0
2015-07-30,835170.0,843340.0
2015-07-31,816073.0,824240.0
2015-08-01,773952.0,780617.0
2015-08-02,759555.0,767917.0
2015-08-03,807922.0,815337.0
2015-08-04,791679.0,801279.0
2015-08-05,773040.0,788573.0
2015-08-06,811382.0,820181.0
2015-08-07,855894.0,865332.0
2015-08-08,826283.0,840204.0
2015-08-09,809435.0,821546.0
2015-08-10,835638.0,847330.0
2015-08-11,817848.0,827421.0
2015-08-12,792133.0,803147.0
2015-08-13,792285.0,807031.0
2015-08-14,801108.0,815205.0
2015-08-15,765011.0,778840.0
2015-08-16,753308.0,765346.0
2015-08-17,782735.0,796382.0
2015-08-18,763635.0,775858.0
2015-08-19,683768.0,695036.0
2015-08-20,638942.0,647036.0
2015-08-21,684086.0,692417.0
2015-08-22,703310.0,707278.0
2015-08-23,668786.0,675335.0
2015-08-24,673596.0,673126.0
2015-08-25,708594.0,707183.0
2015-08-26,736723.0,731880.0
2015-08-27,739682.0,740847.0
2015-08-28,718457.0,724985.0
2015-08-29,684800.0,690632.0
2015-08-30,678367.0,678312.0
2015-08-31,753287.0,758476.0
2015-09-01,793729.0,809683.0
2015-09-02,802364.0,820912.0
2015-09-03,817230.0,837875.0
2015-09-04,818018.0,833859.0
2015-09-05,781918.0,789890.0
2015-09-06,775139.0,778545.0
2015-09-07,765843.0,774239.0
2015-09-08,767267.0,779078.0
