UTC Time at End of Hour,Demand (MW),Net Generation (MW)
2015-07-01,840137.0,792066.0
2015-07-02,873182.9399999998,1001792.0
2015-07-03,873182.9399999998,978693.0
2015-07-04,873182.9399999998,948306.0
2015-07-05,873182.9399999998,953609.0
2015-07-06,790281.0,732455.0
2015-07-07,726548.0,675544.0
2015-07-08,739158.0,688271.0
2015-07-09,791495.0,733619.0
2015-07-10,806975.0,859745916.0
2015-07-11,796678.0,859741746.0
2015-07-12,756214.0,708274.0
2015-07-13,783795.0,732871.0
2015-07-14,793579.0,744809.0
2015-07-15,763539.0,714797.0
2015-07-16,720913.0,672072.0
2015-07-17,722983.0,673938.0
2015-07-18,707790.0,659031.0
2015-07-19,724820.0,675601.0
2015-07-20,776329.0,726034.0
2015-07-21,786766.0,430230430.0
2015-07-22,786351.0,723088.0
2015-07-23,795871.0,727427.0
2015-07-24,751582.0,689013.0
2015-07-25,681194.0,627374.0
2015-07-26,672664.0,618836.0
2015-07-27,710487.0,653246.0
2015-07-28,747664.0,697363.0
2015-07-29,769018.0,723195.0
2015-07-30,765168.0,715163.0
2015-07-31,749086.0,704637.0
2015-08-01,673894.0,628500.0
2015-08-02,656051.0,607413.0
2015-08-03,669238.0,626140.0
2015-08-04,727984.0,683487.0
2015-08-05,786692.0,735449.0
2015-08-06,793627.0,1289148765.48
2015-08-07,794293.0,738354.0
2015-08-08,736483.0,685990.0
2015-08-09,736821.0,1289148765.48
2015-08-10,780575.0,727344.0
2015-08-11,791902.0,736654.0
2015-08-12,805344.0,752142.0
2015-08-13,792244.0,741065.0
2015-08-14,729526.0,682543.0
2015-08-15,702664.0,654470.0
2015-08-16,697316.0,648102.0
2015-08-17,770004.0,717191.0
2015-08-18,790183.0,729146.0
2015-08-19,806803.0,746300.0
2015-08-20,806925.0,751463.0
2015-08-21,806580.0,752551.0
2015-08-22,799752.0,744256.0
2015-08-23,784276.0,725395.0
2015-08-24,804137.0,746375.0
2015-08-25,827078.0,762644.0
2015-08-26,808741.0,740477.0
2015-08-27,704605.0,653077.0
2015-08-28,732181.0,683797.0
2015-08-29,718212.0,670285.0
2015-08-30,668118.0,622090.0
2015-08-31,712240.0,668750.0
2015-09-01,755694.0,1289148765.48
2015-09-02,793906.0,859738953.0
2015-09-03,804991.0,430254787.0
2015-09-04,779918.0,740155.0
2015-09-05,699963.0,659013.0
2015-09-06,681629.0,641889.0
2015-09-07,653999.0,615235.0
2015-09-08,716031.0,673358.0
2015-09-09,768463.0,720965.0
2015-09-10,787637.0,740642.0
2015-09-11,803829.0,754856.0
2015-09-12,738561.0,691596.0
2015-09-13,719351.0,673434.0
2015-09-14,707363.0,663321.0
2015-09-15,728425.0,678506.0
2015-09-16,671630.0,624555.0
2015-09-17,645850.0,605182.0
2015-09-18,659786.0,620811.0
2015-09-19,698829.0,657572.0
2015-09-20,723264.0,675074.0
2015-09-21,742287.0,700457.0
2015-09-22,737905.0,697513.0
2015-09-23,711013.0,670862.0
2015-09-24,700663.0,658762.0
2015-09-25,712906.0,668711.0
2015-09-26,697249.0,652163.0
2015-09-27,686435.0,642591.0
2015-09-28,698183.0,659682.0
2015-09-29,699730.0,667341.0
2015-09-30,738551.0,430199552.0
2015-10-01,757622.0,1289148765.48
2015-10-02,736613.0,1289148765.48
2015-10-03,657773.0,859612111.0
2015-10-04,575894.0,546711.0
2015-10-05,594633.0,564102.0
2015-10-06,620529.0,587551.0
2015-10-07,649805.0,616717.0
2015-10-08,672177.0,647439.0
2015-10-09,703635.0,681314.0
2015-10-10,677259.0,639837.0
2015-10-11,640728.0,602119.0
2015-10-12,637691.0,611642.0
2015-10-13,647473.0,627268.0
2015-10-14,680430.0,658907.0
2015-10-15,670924.0,651353.0
2015-10-16,637546.0,618489.0
2015-10-17,603258.0,584877.0
2015-10-18,569639.0,556570.0
2015-10-19,575884.0,562120.0
2015-10-20,594542.0,576166.0
2015-10-21,624026.0,599703.0
2015-10-22,644271.0,609734.0
2015-10-23,646927.0,607659.0
2015-10-24,614293.0,572428.0
2015-10-25,616154.0,575948.0
2015-10-26,639584.0,599446.0
2015-10-27,638667.0,597664.0
2015-10-28,652576.0,610343.0
2015-10-29,657611.0,612455.0
2015-10-30,652381.0,605539.0
2015-10-31,628856.0,589652.0
2015-11-01,667254.0,630045.0
2015-11-02,715519.0,430173825.0
2015-11-03,735428.0,1289148765.48
2015-11-04,732758.0,1289148765.48
2015-11-05,734465.0,1289148765.48
2015-11-06,715068.0,1289148765.48
2015-11-07,697033.0,1289148765.48
2015-11-08,682216.0,859627141.0
2015-11-09,700537.0,654232.0
2015-11-10,682666.0,430135274.0
2015-11-11,653535.0,1289099385.0
2015-11-12,657612.0,1289148765.48
2015-11-13,654978.0,859603845.0
2015-11-14,570140.0,859525579.0
2015-11-15,536697.0,503867.0
2015-11-16,585515.0,551229.0
2015-11-17,626614.0,589345.0
2015-11-18,670203.0,859619158.0
2015-11-19,682896.0,1289148765.48
2015-11-20,654865.0,607003.0
2015-11-21,603463.0,560083.0
2015-11-22,543212.0,504091.0
2015-11-23,530895.0,495282.0
2015-11-24,527941.0,500808.0
2015-11-25,533822.0,516296.0
2015-11-26,553162.0,525687.0
2015-11-27,528848.0,505816.0
2015-11-28,534131.0,509766.0
2015-11-29,528347.0,502109.0
2015-11-30,566708.0,546120.0
2015-12-01,597659.0,579006.0
2015-12-02,622209.0,604253.0
2015-12-03,593569.0,1289148765.48
2015-12-04,553980.0,859538746.0
2015-12-05,547704.0,537231.0
2015-12-06,551562.0,538427.0
2015-12-07,544837.0,859529137.0
2015-12-08,531803.0,522874.0
2015-12-09,546236.0,532534.0
2015-12-10,543358.0,535244.0
2015-12-11,562024.0,551220.0
2015-12-12,557031.0,544525.0
2015-12-13,559690.0,547976.0
2015-12-14,609205.0,596824.0
2015-12-15,620735.0,607966.0
2015-12-16,631711.0,617182.0
2015-12-17,644076.0,628386.0
2015-12-18,616332.0,603339.0
2015-12-19,537320.0,533119.0
2015-12-20,535797.0,530477.0
2015-12-21,563033.0,552856.0
2015-12-22,611051.0,592600.0
2015-12-23,629770.0,601553.0
2015-12-24,650854.0,617478.0
2015-12-25,630405.0,605488.0
2015-12-26,603022.0,579410.0
2015-12-27,610753.0,588139.0
2015-12-28,639338.0,612335.0
2015-12-29,662349.0,635819.0
2015-12-30,658857.0,629613.0
2015-12-31,649037.0,605709.0
2016-01-01,605084.0,565486.0
2016-01-02,548105.0,540036.0
2016-01-03,522441.0,509213.0
2016-01-04,532870.0,523813.0
2016-01-05,560003.0,566996.0
2016-01-06,554035.0,559633.0
2016-01-07,541883.0,543456.0
2016-01-08,526499.0,516666.0
2016-01-09,519490.0,505558.0
2016-01-10,510408.0,502058.0
2016-01-11,548706.0,1289044319.0
2016-01-12,605978.0,606376.0
2016-01-13,593716.0,593262.0
2016-01-14,594701.0,593328.0
2016-01-15,533398.0,531408.0
2016-01-16,503289.0,492795.0
2016-01-17,494094.0,488799.0
2016-01-18,568454.0,572944.0
2016-01-19,644232.0,1289148765.48
2016-01-20,698212.0,859687014.0
2016-01-21,605914.0,600086.0
2016-01-22,540254.0,430035422.0
2016-01-23,587967.0,582939.0
2016-01-24,709789.0,692257.0
2016-01-25,709409.0,681803.0
2016-01-26,563510.0,550547.0
2016-01-27,534885.0,520722.0
2016-01-28,529124.0,509048.0
2016-01-29,535090.0,516905.0
2016-01-30,555502.0,539368.0
2016-01-31,512507.0,497269.0
2016-02-01,528172.0,509457.0
2016-02-02,551282.0,530784.0
2016-02-03,590532.0,569402.0
2016-02-04,584149.0,569244.0
2016-02-05,555707.0,554013.0
