UTC Time at End of Hour,Demand (MW),Net Generation (MW)
2015-07-01,1788226.0,1767457.0
2015-07-02,2189181.0,2173781.0
2015-07-03,2007349.0,2009357.0
2015-07-04,1958330.0,1972332.0
2015-07-05,1978419.0,1989036.0
2015-07-06,2395315.0,2372178.0
2015-07-07,2575735.0,2524055.0
2015-07-08,2478682.0,2405903.0
2015-07-09,2464014.0,2419488.0
2015-07-10,2440816.0,2420959.0
2015-07-11,2244944.0,2248603.0
2015-07-12,2183294.0,2196077.0
2015-07-13,2433770.0,2455834.0
2015-07-14,2546813.0,2540525.0
2015-07-15,2443738.0,2416766.0
2015-07-16,2274553.0,2241337.0
2015-07-17,2411350.0,2379568.0
2015-07-18,2511397.0,2472035.0
2015-07-19,2614334.0,2546219.0
2015-07-20,2839319.0,2746204.0
2015-07-21,2788917.0,2688278.0
2015-07-22,2506897.0,2425316.0
2015-07-23,2426946.0,2377400.0
2015-07-24,2458713.0,2425955.0
2015-07-25,2398035.0,2368948.0
2015-07-26,2396918.0,2356818.0
2015-07-27,2634649.0,2604215.0
2015-07-28,2794105.0,2759890.0
2015-07-29,2873993.0,2829312.0
2015-07-30,2821436.0,2776134.0
2015-07-31,2648937.0,2609114.0
2015-08-01,2419209.0,2404923.0
2015-08-02,2335468.0,2333194.0
2015-08-03,2587601.0,2565219.0
2015-08-04,2644785.0,2618521.0
2015-08-05,2563673.0,2553892.0
2015-08-06,2420132.0,2419964.0
2015-08-07,2330213.0,2340427.0
2015-08-08,2233850.0,2228299.0
2015-08-09,2195404.0,2181112.0
2015-08-10,2419512.0,2401976.0
2015-08-11,2480334.0,2440921.0
2015-08-12,2405609.0,2376768.0
2015-08-13,2364122.0,2347453.0
2015-08-14,2428138.0,2411917.0
2015-08-15,2401886.0,2374740.0
2015-08-16,2422791.0,2411308.0
2015-08-17,2728000.0,2705844.0
2015-08-18,2717877.0,2708736.0
2015-08-19,2690286.0,2713195.0
2015-08-20,2591194.0,2616883.0
2015-08-21,2425123.0,2450411.0
2015-08-22,2180687.0,2211483.0
2015-08-23,2096338.0,2133998.0
2015-08-24,2383577.0,2393418.0
2015-08-25,2361718.0,2371700.0
