UTC Time at End of Hour,Demand (MW),Net Generation (MW)
2015-07-01,1561602.0,1434843.0
2015-07-02,2090897.0,1943647.0
2015-07-03,1988778.0,1814524.0
2015-07-04,1915627.0,1731392.0
2015-07-05,1947154.0,1759871.0
2015-07-06,2240403.0,2075019.0
2015-07-07,2268376.0,2133277.0
2015-07-08,2099391.0,1967878.0
2015-07-09,2150810.0,2008941.0
2015-07-10,2225560.0,2087472.0
2015-07-11,2178159.0,2014166.0
2015-07-12,2230024.0,2056104.0
2015-07-13,2480773.0,2296433.0
2015-07-14,2534670.1199999996,2381570.0
2015-07-15,2384745.0,2237548.0
2015-07-16,2348110.0,2201780.0
2015-07-17,2493696.0,2326368.0
2015-07-18,2472689.0,2313035.0
2015-07-19,2370299.0,2254080.0
2015-07-20,2455625.0,2358204.0
2015-07-21,2432927.0,2333420.0
2015-07-22,2360047.0,2249576.0
2015-07-23,2408254.0,2276719.0
2015-07-24,2487043.0,2346784.0
2015-07-25,2420699.0,2265603.0
2015-07-26,2337874.0,2197486.0
2015-07-27,2534670.1199999996,2400061.1799999997
2015-07-28,2534670.1199999996,2400061.1799999997
2015-07-29,2534670.1199999996,2400061.1799999997
2015-07-30,2503786.0,2400061.1799999997
2015-07-31,2443905.0,2323875.0
2015-08-01,2264797.0,2124404.0
2015-08-02,2270163.0,2111162.0
2015-08-03,2414366.0,2260861.0
2015-08-04,2388317.0,2246452.0
2015-08-05,2354312.0,2206167.0
2015-08-06,2325207.0,2160075.0
2015-08-07,2343948.0,2169360.0
2015-08-08,2261716.0,2090993.0
2015-08-09,2215784.0,2053449.0
2015-08-10,2437259.0,2287785.0
2015-08-11,2427484.0,2302707.0
2015-08-12,2349749.0,2226424.0
2015-08-13,2381280.0,2251592.0
2015-08-14,2465380.0,2317067.0
2015-08-15,2355466.0,2204381.0
2015-08-16,2298290.0,2153113.0
2015-08-17,2421743.0,2280079.0
2015-08-18,2376331.0,2237033.0
2015-08-19,2281326.0,2138415.0
2015-08-20,2122037.0,1974448.0
2015-08-21,2112798.0,1964909.0
2015-08-22,2043020.0,1888080.0
2015-08-23,1993792.0,1847173.0
2015-08-24,2099623.0,1961369.0
2015-08-25,2068503.0,1929984.0
2015-08-26,2034324.0,1878495.0
2015-08-27,2058418.0,1909300.0
2015-08-28,2089375.0,1944975.0
2015-08-29,2018541.0,1853511.0
2015-08-30,2037379.0,1869047.0
2015-08-31,2301256.0,2161590.0
2015-09-01,2450762.0,2309811.0
2015-09-02,2507793.0,2368721.0
2015-09-03,2500095.0,2357592.0
2015-09-04,2482576.0,2343933.0
2015-09-05,2315743.0,2159945.0
2015-09-06,2280416.0,2100451.0
2015-09-07,2270923.0,2081699.0
2015-09-08,2394318.0,2236101.0
2015-09-09,2269219.0,2127739.0
2015-09-10,2164006.0,2020556.0
2015-09-11,2039382.0,1879149.0
2015-09-12,1789685.0,1610984.0
2015-09-13,1675120.0,1484084.0
2015-09-14,1893719.0,1708358.0
2015-09-15,2081810.0,1897668.0
2015-09-16,2170266.0,1983977.0
2015-09-17,2241367.0,2062773.0
2015-09-18,2206263.0,2031917.0
2015-09-19,1991510.0,1818286.0
2015-09-20,1799940.0,1630797.0
2015-09-21,1958828.0,1783501.0
2015-09-22,2033511.0,1828308.0
2015-09-23,2061529.0,1869836.0
2015-09-24,2080634.0,1884886.0
2015-09-25,2073660.0,1855571.0
2015-09-26,1903201.0,1686386.0
2015-09-27,1827248.0,1620018.0
2015-09-28,2050607.0,1859763.0
2015-09-29,2078555.0,1925086.0
2015-09-30,1958817.0,1821097.0
2015-10-01,1894499.0,1736657.0
2015-10-02,1840503.0,1681256.0
2015-10-03,1708866.0,1532756.0
2015-10-04,1646002.0,1474849.0
2015-10-05,1833209.0,1661134.0
2015-10-06,1938126.0,1791018.0
2015-10-07,1965143.0,1812082.0
2015-10-08,1985514.0,1841311.0
2015-10-09,1951001.0,1629691.0
2015-10-10,1756983.0,1538096.0
2015-10-11,1683172.0,1515193.0
2015-10-12,1883393.0,1734148.0
2015-10-13,1921028.0,1759230.0
2015-10-14,1886787.0,1731274.0
2015-10-15,1896229.0,1558209.0
2015-10-16,1883981.0,1667945.0
2015-10-17,1759861.0,1637708.0
2015-10-18,1692121.0,1581780.0
2015-10-19,1839188.0,1733314.0
2015-10-20,1880774.0,1758676.0
2015-10-21,1910328.0,1788295.0
2015-10-22,1887787.0,1789111.0
2015-10-23,1864348.0,1783437.0
2015-10-24,1730930.0,1614917.0
2015-10-25,1620077.0,1493607.0
2015-10-26,1778014.0,1666205.0
2015-10-27,1818801.0,1696866.0
2015-10-28,1829445.0,1693509.0
2015-10-29,1843454.0,1701291.0
2015-10-30,1823805.0,1669675.0
2015-10-31,1715425.0,1568035.0
2015-11-01,1598086.0,1449140.0
2015-11-02,1748890.0,1602154.0
2015-11-03,1807572.0,1674035.0
2015-11-04,1814134.0,1686549.0
2015-11-05,1839437.0,1725390.0
2015-11-06,1849384.0,1739342.0
2015-11-07,1720462.0,1592190.0
2015-11-08,1656761.0,1534315.0
2015-11-09,1801891.0,1699849.0
2015-11-10,1842229.0,1742966.0
2015-11-11,1838653.0,1725906.0
2015-11-12,1837592.0,1725923.0
2015-11-13,1848494.0,1721244.0
2015-11-14,1752440.0,1634503.0
2015-11-15,1645264.0,1528599.0
2015-11-16,1781066.0,1672995.0
2015-11-17,1863004.0,1743863.0
2015-11-18,1838103.0,1717166.0
2015-11-19,1856775.0,1742662.0
2015-11-20,1908069.0,1805221.0
2015-11-21,1826492.0,1739747.0
2015-11-22,1860636.0,1741874.0
2015-11-23,1988844.0,1911420.0
2015-11-24,1964658.0,1883921.0
2015-11-25,1898467.0,1817294.0
2015-11-26,1678442.0,1545225.0
2015-11-27,1620647.0,1437054.0
2015-11-28,1727436.0,1551971.0
2015-11-29,1771326.0,1593712.0
2015-11-30,1908612.0,1782001.0
2015-12-01,1934058.0,1794430.0
2015-12-02,1980018.0,1846110.0
2015-12-03,2020011.0,1907312.0
2015-12-04,2033738.0,1952533.0
2015-12-05,1908764.0,1838768.0
2015-12-06,1823304.0,1729871.0
2015-12-07,1921842.0,1841583.0
2015-12-08,1967223.0,1892622.0
2015-12-09,1914212.0,1837060.0
2015-12-10,1903171.0,1814058.0
2015-12-11,1892020.0,1786404.0
2015-12-12,1755420.0,1616751.0
2015-12-13,1701347.0,1555041.0
2015-12-14,1841407.0,1735266.0
2015-12-15,1943454.0,1830704.0
2015-12-16,1941866.0,1857165.0
2015-12-17,2008968.0,1940953.0
2015-12-18,2092025.0,2033656.0
2015-12-19,2030073.0,1969473.0
2015-12-20,1908326.0,1837347.0
2015-12-21,1910781.0,1825582.0
2015-12-22,1919572.0,1809463.0
2015-12-23,1884318.0,1767751.0
2015-12-24,1770347.0,1642902.0
2015-12-25,1663397.0,1520770.0
2015-12-26,1700095.0,1555350.0
2015-12-27,1765365.0,1624289.0
2015-12-28,1936657.0,1833629.0
