UTC Time at End of Hour,Demand (MW),Net Generation (MW)
2015-07-01,295042.0,268390.0
2015-07-02,368723.0,333856.0
2015-07-03,335471.0,309812.0
2015-07-04,309205.0,287811.0
2015-07-05,309887.0,295537.0
2015-07-06,385685.0,363883.0
2015-07-07,417859.0,379563.0
2015-07-08,438964.0,391712.0
2015-07-09,388795.0,356488.0
2015-07-10,377603.0,345543.0
2015-07-11,363202.0,322451.0
2015-07-12,379092.0,325950.0
2015-07-13,426920.0,376323.0
2015-07-14,410956.0,362295.0
2015-07-15,429262.0,368417.0
2015-07-16,369505.0,318071.0
2015-07-17,355472.0,313520.0
2015-07-18,348536.0,312128.0
2015-07-19,393530.0,354130.0
2015-07-20,472830.63999999996,402421.61999999994
2015-07-21,458359.0,387462.0
2015-07-22,417067.0,357074.0
2015-07-23,384186.0,342724.0
2015-07-24,375764.0,339928.0
2015-07-25,339312.0,312005.0
2015-07-26,339705.0,311281.0
2015-07-27,404518.0,364853.0
2015-07-28,443133.0,391341.0
2015-07-29,470238.0,402421.61999999994
2015-07-30,472830.63999999996,402421.61999999994
2015-07-31,445889.0,388896.0
2015-08-01,391307.0,350152.0
2015-08-02,368805.0,331956.0
2015-08-03,431871.0,385049.0
2015-08-04,445202.0,388481.0
2015-08-05,408793.0,354625.0
2015-08-06,382546.0,341776.0
2015-08-07,369845.0,335271.0
2015-08-08,339469.0,306936.0
2015-08-09,325064.0,292565.0
2015-08-10,365051.0,325958.0
2015-08-11,381721.0,339554.0
2015-08-12,394614.0,347057.0
2015-08-13,392631.0,348124.0
2015-08-14,390389.0,348219.0
2015-08-15,393822.0,343173.0
2015-08-16,401876.0,350298.0
2015-08-17,461710.0,402421.61999999994
2015-08-18,472830.63999999996,402421.61999999994
2015-08-19,471333.0,402421.61999999994
2015-08-20,462738.0,401840.0
2015-08-21,443009.0,381792.0
2015-08-22,389778.0,326998.0
2015-08-23,361464.0,300631.0
2015-08-24,410778.0,349932.0
2015-08-25,433716.0,376050.0
2015-08-26,424401.0,361975.0
2015-08-27,380587.0,327618.0
2015-08-28,365132.0,317243.0
2015-08-29,336954.0,301005.0
2015-08-30,353731.0,317179.0
2015-08-31,431683.0,368977.0
2015-09-01,434259.0,360218.0
2015-09-02,429342.0,355841.0
2015-09-03,443894.0,370758.0
2015-09-04,412014.0,346138.0
2015-09-05,335498.0,289175.0
2015-09-06,330651.0,285234.0
2015-09-07,374817.0,315889.0
2015-09-08,464225.0,390032.0
2015-09-09,472830.63999999996,402421.61999999994
2015-09-10,437934.0,369373.0
2015-09-11,367316.0,293753.0
2015-09-12,332793.0,271951.0
2015-09-13,323193.0,256999.0
2015-09-14,331877.0,261281.0
2015-09-15,339581.0,291017.0
2015-09-16,367405.0,317251.0
2015-09-17,388569.0,333761.0
2015-09-18,389136.0,313003.0
2015-09-19,350332.0,270040.0
2015-09-20,331509.0,253512.0
2015-09-21,318244.0,247906.0
2015-09-22,320335.0,256511.0
2015-09-23,322637.0,263120.0
2015-09-24,327961.0,277560.0
2015-09-25,318155.0,269190.0
2015-09-26,289093.0,240497.0
2015-09-27,279610.0,230970.0
2015-09-28,320334.0,268263.0
2015-09-29,360758.0,306066.0
2015-09-30,380444.0,323102.0
2015-10-01,327284.0,268147.0
2015-10-02,312060.0,252374.0
2015-10-03,296907.0,238785.0
2015-10-04,279016.0,226831.0
2015-10-05,309082.0,234822.0
2015-10-06,316091.0,241839.0
2015-10-07,315633.0,241237.0
2015-10-08,314697.0,239150.0
2015-10-09,321592.0,253850.0
2015-10-10,288207.0,221843.0
2015-10-11,277813.0,210832.0
2015-10-12,298387.0,236842.0
2015-10-13,321940.0,254159.0
2015-10-14,317687.0,260425.0
2015-10-15,310822.0,260148.0
2015-10-16,310212.0,256188.0
2015-10-17,291735.0,236376.0
2015-10-18,298346.0,229948.0
2015-10-19,328477.0,256102.0
2015-10-20,322583.0,250511.0
2015-10-21,320002.0,247448.0
2015-10-22,321257.0,254348.0
2015-10-23,312972.0,250274.0
2015-10-24,304382.0,248492.0
2015-10-25,295853.0,236101.0
2015-10-26,307802.0,255391.0
2015-10-27,324416.0,263924.0
2015-10-28,329705.0,267937.0
2015-10-29,326056.0,260342.0
2015-10-30,308811.0,245566.0
2015-10-31,292052.0,230337.0
2015-11-01,283831.0,222626.0
2015-11-02,309029.0,249968.0
2015-11-03,316175.0,258747.0
2015-11-04,314234.0,257431.0
2015-11-05,318676.0,264555.0
2015-11-06,325663.0,267891.0
2015-11-07,292796.0,231219.0
2015-11-08,283009.0,217328.0
2015-11-09,314959.0,243770.0
2015-11-10,330845.0,248535.0
2015-11-11,327265.0,248011.0
2015-11-12,330943.0,252006.0
2015-11-13,321006.0,242195.0
2015-11-14,303062.0,235654.0
2015-11-15,299528.0,237007.0
2015-11-16,314886.0,246685.0
2015-11-17,325379.0,262091.0
2015-11-18,339368.0,267361.0
2015-11-19,334827.0,274419.0
2015-11-20,318930.0,264123.0
2015-11-21,304689.0,248439.0
2015-11-22,306889.0,236790.0
2015-11-23,330539.0,261479.0
2015-11-24,352346.0,277051.0
2015-11-25,348824.0,274590.0
2015-11-26,315122.0,246327.0
2015-11-27,288886.0,232072.0
2015-11-28,293463.0,238654.0
2015-11-29,304503.0,244852.0
2015-11-30,349549.0,281667.0
2015-12-01,359993.0,295382.0
2015-12-02,350762.0,296180.0
2015-12-03,336339.0,282638.0
2015-12-04,341637.0,284234.0
2015-12-05,316961.0,268349.0
2015-12-06,312342.0,265955.0
2015-12-07,337691.0,292291.0
2015-12-08,350939.0,306050.0
2015-12-09,350689.0,301650.0
2015-12-10,338156.0,295687.0
2015-12-11,331554.0,291675.0
2015-12-12,308712.0,266263.0
2015-12-13,303454.0,258177.0
