UTC Time at End of Hour,Demand (MW),Net Generation (MW)
2015-07-01,550174.0,580450.0
2015-07-02,733441.0,777439.0
2015-07-03,718934.0,761984.0
2015-07-04,659109.0,696509.0
2015-07-05,618339.0,655377.0
2015-07-06,713876.0,753176.0
2015-07-07,793018.0,843262.0
2015-07-08,831514.0,866037.0
2015-07-09,849126.0,884176.4599999997
2015-07-10,857447.0,884176.4599999997
2015-07-11,828754.0,845623.0
2015-07-12,814922.0,831952.0
2015-07-13,857848.0,884176.4599999997
2015-07-14,886371.0,884176.4599999997
2015-07-15,843378.0,875131.0
2015-07-16,840207.0,867593.0
2015-07-17,847958.0,882200.0
2015-07-18,827213.0,865714.0
2015-07-19,818946.0,851830.0
2015-07-20,841749.0,884176.4599999997
2015-07-21,893882.0,884176.4599999997
2015-07-22,861251.0,884176.4599999997
2015-07-23,836765.0,880975.0
2015-07-24,836024.0,878608.0
2015-07-25,808165.0,848607.0
2015-07-26,796925.0,830611.0
2015-07-27,850800.0,884176.4599999997
2015-07-28,886205.0,884176.4599999997
2015-07-29,888953.0,884176.4599999997
2015-07-30,886204.0,884176.4599999997
2015-07-31,824019.0,855597.0
2015-08-01,791548.0,811013.0
2015-08-02,791817.0,811207.0
2015-08-03,792463.0,815074.0
2015-08-04,792806.0,818946.0
2015-08-05,791831.0,819286.0
2015-08-06,791653.0,814048.0
2015-08-07,792505.0,812611.0
2015-08-08,791379.0,809575.0
2015-08-09,791481.0,810232.0
2015-08-10,792705.0,815695.0
2015-08-11,792614.0,815141.0
2015-08-12,792486.0,816529.0
2015-08-13,791622.0,820952.0
2015-08-14,791110.0,813718.0
2015-08-15,790566.0,808450.0
2015-08-16,789802.0,807904.0
2015-08-17,765008.0,805863.0
2015-08-18,685910.0,723609.0
2015-08-19,357848.0,376628.0
2015-08-20,275522.0,291254.0
2015-08-21,248611.0,261912.0
2015-08-22,193729.0,202966.0
2015-08-23,193915.0,202980.0
2015-08-24,221415.0,235432.0
2015-08-25,248544.0,264587.0
2015-08-26,274995.0,291775.0
2015-08-27,220453.0,234311.0
2015-08-28,366712.0,390719.0
2015-08-29,201452.0,217642.0
2015-08-30,188700.0,205917.0
2015-08-31,251181.0,269609.0
2015-09-01,344989.0,370280.0
2015-09-02,352098.0,382043.0
2015-09-03,345147.0,373293.0
2015-09-04,390531.0,415427.0
2015-09-05,332453.0,348074.0
2015-09-06,395411.0,419365.0
2015-09-07,385482.0,411436.0
2015-09-08,320227.0,350895.0
2015-09-09,408363.0,443514.0
2015-09-10,362957.0,386163.0
2015-09-11,433222.0,467393.0
2015-09-12,457584.0,492905.0
2015-09-13,338055.0,361224.0
2015-09-14,202408.0,221096.0
2015-09-15,272155.0,301215.0
2015-09-16,279649.0,306381.0
2015-09-17,321974.0,350830.0
2015-09-18,330453.0,357776.0
