UTC Time at End of Hour,Demand (MW),Net Generation (MW)
2015-07-01,332936.0,314454.0
2015-07-02,523087.0,497791.0
2015-07-03,509565.0,487707.0
2015-07-04,491571.0,460559.0
2015-07-05,492160.0,454124.0
2015-07-06,490529.0,462428.0
2015-07-07,514880.0,487308.0
2015-07-08,511864.0,481717.0
2015-07-09,491526.0,466824.0
2015-07-10,474200.0,441193.0
2015-07-11,478383.0,441056.0
2015-07-12,484877.0,430646.0
2015-07-13,510420.0,472450.0
2015-07-14,526500.0,486579.0
2015-07-15,512629.0,483899.0
2015-07-16,518987.0,489744.0
2015-07-17,520043.0,497791.0
2015-07-18,492989.0,454844.0
2015-07-19,466654.0,437038.0
2015-07-20,497864.0,468883.0
2015-07-21,510562.0,476259.0
2015-07-22,515180.0,476953.0
2015-07-23,508982.0,470050.0
2015-07-24,516566.0,469576.0
2015-07-25,510765.0,469246.0
2015-07-26,360076.0,329463.0
2015-07-27,516186.0,471358.0
2015-07-28,535788.0,495258.0
2015-07-29,518868.0,496301.0
2015-07-30,505653.0,493603.0
2015-07-31,532443.0,497791.0
2015-08-01,495226.0,469063.0
2015-08-02,507462.0,463821.0
2015-08-03,527347.0,481445.0
2015-08-04,537112.0,477570.0
2015-08-05,542543.0,494944.0
2015-08-06,544867.0,497791.0
2015-08-07,529061.0,491030.0
2015-08-08,502378.0,452848.0
2015-08-09,505787.0,444618.0
2015-08-10,521901.0,478368.0
2015-08-11,514780.0,479776.0
2015-08-12,499378.0,475241.0
2015-08-13,539160.0,497791.0
2015-08-14,552373.4000000001,497791.0
2015-08-15,552373.4000000001,497791.0
2015-08-16,552373.4000000001,497791.0
2015-08-17,552373.4000000001,497791.0
2015-08-18,547188.0,497791.0
2015-08-19,531315.0,497791.0
2015-08-20,421762.0,398713.0
2015-08-21,535718.0,497791.0
2015-08-22,530300.0,497791.0
2015-08-23,511168.0,476224.0
2015-08-24,526477.0,495210.0
2015-08-25,521546.0,497791.0
2015-08-26,501860.0,488884.0
2015-08-27,525260.0,497791.0
