UTC Time at End of Hour,Demand (MW),Net Generation (MW)
2015-07-01,321007.0,334989.0
2015-07-02,430456.0,443558.0
2015-07-03,408072.0,418765.0
2015-07-04,379932.0,393372.0
2015-07-05,384117.0,396720.0
2015-07-06,447192.0,461337.0
2015-07-07,498843.0,513257.0
2015-07-08,508212.0,515672.0
2015-07-09,531050.0,543355.0
2015-07-10,533736.0,547351.0
2015-07-11,516716.0,527800.0
2015-07-12,501652.0,514165.0
2015-07-13,545590.0,556504.0
2015-07-14,553246.0,565222.0
2015-07-15,499494.0,509128.0
2015-07-16,516778.0,530630.0
2015-07-17,542000.0,556764.0
2015-07-18,540830.0,553751.0
2015-07-19,528329.0,548022.0
2015-07-20,560405.0,576262.0
2015-07-21,548904.0,568275.0
2015-07-22,516639.0,537736.0
2015-07-23,494138.0,522853.0
2015-07-24,506655.0,528709.0
2015-07-25,503610.0,526743.0
2015-07-26,500738.0,523546.0
2015-07-27,542654.0,556634.0
2015-07-28,567831.0,571486.0
2015-07-29,551373.0,551640.0
2015-07-30,553711.0,558774.0
2015-07-31,500971.0,514908.0
2015-08-01,478365.0,493372.0
2015-08-02,473020.0,489402.0
2015-08-03,506624.0,524296.0
2015-08-04,546801.0,566186.0
2015-08-05,536101.0,554433.0
2015-08-06,458768.0,487390.0
2015-08-07,463750.0,489816.0
2015-08-08,469166.0,491027.0
2015-08-09,482676.0,495341.0
2015-08-10,516031.0,530198.0
2015-08-11,517463.0,532541.0
2015-08-12,495772.0,509885.0
2015-08-13,467615.0,483226.0
2015-08-14,462215.0,486500.0
2015-08-15,444584.0,471503.0
2015-08-16,434012.0,456656.0
2015-08-17,453886.0,482272.0
2015-08-18,472197.0,499457.0
2015-08-19,486300.0,505853.0
2015-08-20,453885.0,485248.0
2015-08-21,443906.0,466339.0
2015-08-22,428846.0,446294.0
2015-08-23,438787.0,454666.0
2015-08-24,469424.0,487469.0
2015-08-25,426582.0,456738.0
2015-08-26,413939.0,440249.0
2015-08-27,415900.0,441197.0
2015-08-28,440418.0,464304.0
2015-08-29,445600.0,465967.0
2015-08-30,418593.0,439477.0
2015-08-31,451842.0,474202.0
2015-09-01,486199.0,513255.0
2015-09-02,500531.0,526382.0
2015-09-03,512120.0,534240.0
2015-09-04,514998.0,540481.0
2015-09-05,482116.0,498739.0
2015-09-06,458014.0,473773.0
2015-09-07,451334.0,471356.0
2015-09-08,481777.0,502446.0
2015-09-09,484520.0,509072.0
2015-09-10,451448.0,480610.0
2015-09-11,449127.0,471995.0
2015-09-12,376860.0,388996.0
2015-09-13,330973.0,339848.0
2015-09-14,362107.0,371474.0
2015-09-15,386868.0,399145.0
2015-09-16,404002.0,419396.0
2015-09-17,417493.0,433274.0
2015-09-18,431471.0,443479.0
2015-09-19,416845.0,428653.0
2015-09-20,395645.0,409265.0
2015-09-21,396765.0,414437.0
2015-09-22,401922.0,417726.0
2015-09-23,417242.0,432108.0
2015-09-24,425269.0,443057.0
2015-09-25,403960.0,421626.0
2015-09-26,367472.0,384224.0
2015-09-27,370547.0,384759.0
2015-09-28,409774.0,427388.0
2015-09-29,426184.0,447257.0
2015-09-30,408238.0,437517.0
2015-10-01,372620.0,406403.0
2015-10-02,352838.0,381403.0
2015-10-03,331148.0,344307.0
2015-10-04,325555.0,335174.0
2015-10-05,369710.0,377012.0
2015-10-06,406702.0,404881.0
2015-10-07,409397.0,406535.0
2015-10-08,410536.0,413632.0
2015-10-09,408844.0,417180.0
2015-10-10,349425.0,359463.0
2015-10-11,328079.0,335466.0
2015-10-12,362141.0,371748.0
2015-10-13,379272.0,388792.0
2015-10-14,367842.0,377152.0
2015-10-15,372193.0,381167.0
2015-10-16,364986.0,375196.0
2015-10-17,340056.0,346602.0
2015-10-18,342559.0,349423.0
2015-10-19,377644.0,385056.0
2015-10-20,373112.0,384632.0
2015-10-21,368748.0,377293.0
2015-10-22,369716.0,379916.0
2015-10-23,369489.0,381848.0
2015-10-24,351210.0,362165.0
2015-10-25,330307.0,341862.0
2015-10-26,352741.0,365179.0
2015-10-27,367467.0,384846.0
2015-10-28,365904.0,389795.0
2015-10-29,337097.0,356317.0
2015-10-30,344635.0,367414.0
2015-10-31,337445.0,365710.0
2015-11-01,315710.0,348513.0
2015-11-02,336526.0,370298.0
2015-11-03,368994.0,395164.0
2015-11-04,371926.0,395708.0
2015-11-05,379808.0,400654.0
2015-11-06,382644.0,399133.0
2015-11-07,345307.0,357960.0
