UTC Time at End of Hour,Demand (MW),Net Generation (MW)
2015-07-01,772674.0,775850.0
2015-07-02,1068283.0,1072395.0
2015-07-03,1084390.0,1088979.0
2015-07-04,1066050.0,1067153.0
2015-07-05,1071403.0,1071070.0
2015-07-06,1163471.0,1167715.0
2015-07-07,1162069.0,1165231.0
2015-07-08,1127191.0,1129909.0
2015-07-09,1145679.0,1150214.0
2015-07-10,1157435.0,1160465.0
2015-07-11,1130570.0,1131941.0
2015-07-12,1127168.0,1129496.0
2015-07-13,1209332.0,1209235.0
2015-07-14,1227965.0,1228985.0
2015-07-15,1218238.0,1219082.0
2015-07-16,1218115.0,1216709.0
2015-07-17,1223910.0,1226119.0
2015-07-18,1210281.0,1209568.0
2015-07-19,1187791.0,1187151.0
2015-07-20,1246255.0,1242956.0
2015-07-21,1249595.0,1244328.0
2015-07-22,1248861.0,1242035.0
2015-07-23,1262401.0,1256750.0
2015-07-24,1258004.0,1251881.0
2015-07-25,1222664.0,1217870.0
2015-07-26,1206832.0,1201389.0
2015-07-27,1276462.0,1270996.0
2015-07-28,1273609.0,1269259.0
2015-07-29,1277239.0,1272792.0
2015-07-30,1280708.0,1273842.0
2015-07-31,1281606.0,1274157.0
2015-08-01,1161710.0,1158277.0
2015-08-02,1134194.0,1130070.0
2015-08-03,1212310.0,1207514.0
2015-08-04,1250762.0,1244602.0
2015-08-05,1292695.0,1286724.0
2015-08-06,1310849.0,1302706.0
2015-08-07,1309436.0,1301375.0
2015-08-08,1269300.0,1262002.0
2015-08-09,1242475.0,1236326.0
2015-08-10,1295209.0,1288809.0
2015-08-11,1313105.0,1305188.0
2015-08-12,1284605.0,1276439.0
2015-08-13,1281941.0,1271560.0
2015-08-14,1264452.0,1257208.0
2015-08-15,1179950.0,1173298.0
2015-08-16,1133170.0,1126145.0
2015-08-17,1183524.0,1177344.0
2015-08-18,1233623.0,1226247.0
2015-08-19,1226190.0,1221438.0
2015-08-20,1021670.0,1018923.0
2015-08-21,1006620.0,1002803.0
2015-08-22,1117730.0,1112943.0
2015-08-23,1175840.0,1168270.0
2015-08-24,1227713.0,1222903.0
2015-08-25,1207753.0,1201003.0
2015-08-26,1130735.0,1125130.0
2015-08-27,1135498.0,1130086.0
2015-08-28,1125973.0,1121996.0
2015-08-29,1090130.0,1088482.0
2015-08-30,1050640.0,1051221.0
2015-08-31,1111492.0,1111830.0
2015-09-01,1111760.0,1111271.0
2015-09-02,1116997.0,1116305.0
2015-09-03,1142489.0,1138809.0
2015-09-04,1171271.0,1168394.0
2015-09-05,1139472.0,1139469.0
2015-09-06,1132024.0,1131644.0
2015-09-07,1182491.0,1179074.0
2015-09-08,1226004.0,1222901.0
2015-09-09,1160322.0,1157683.0
2015-09-10,1105983.0,1104230.0
2015-09-11,1073207.0,1072145.0
2015-09-12,966744.0,964437.0
2015-09-13,902933.0,901111.0
2015-09-14,978181.0,979219.0
2015-09-15,1039950.0,1036743.0
2015-09-16,1108752.0,1106730.0
2015-09-17,1133896.0,1131734.0
2015-09-18,1148827.0,1145353.0
2015-09-19,1062787.0,1059287.0
2015-09-20,998728.0,995949.0
2015-09-21,1054582.0,1052758.0
2015-09-22,1107181.0,1106483.0
2015-09-23,1084166.0,1083731.0
2015-09-24,1031608.0,1030156.0
2015-09-25,1051724.0,1050360.0
2015-09-26,981573.0,981022.0
2015-09-27,919760.0,919823.0
2015-09-28,957297.0,957412.0
2015-09-29,1009927.0,1008528.0
2015-09-30,1049691.0,1046210.0
2015-10-01,1017091.0,1015129.0
2015-10-02,937187.0,935698.0
2015-10-03,822162.0,822257.0
2015-10-04,801355.0,801368.0
2015-10-05,872421.0,873211.0
2015-10-06,907010.0,908089.0
2015-10-07,953232.0,952929.0
2015-10-08,983958.0,985556.0
2015-10-09,977254.0,977851.0
2015-10-10,904060.0,904797.0
2015-10-11,903459.0,903107.0
2015-10-12,1056008.0,1057337.0
2015-10-13,1042714.0,1043836.0
2015-10-14,952454.0,953846.0
2015-10-15,978145.0,979938.0
2015-10-16,956106.0,956624.0
2015-10-17,837785.0,838283.0
2015-10-18,773597.0,768802.0
2015-10-19,820334.0,817664.0
2015-10-20,855710.0,856086.0
2015-10-21,932311.0,930927.0
2015-10-22,938432.0,936392.0
2015-10-23,929957.0,922782.0
2015-10-24,846996.0,846838.0
2015-10-25,726392.0,727014.0
2015-10-26,755759.0,755083.0
2015-10-27,802883.0,802372.0
2015-10-28,828382.0,826548.0
2015-10-29,814170.0,813987.0
2015-10-30,845279.0,845532.0
2015-10-31,808561.0,809137.0
2015-11-01,727842.0,728837.0
2015-11-02,773470.0,773534.0
2015-11-03,803074.0,804188.0
